Hlboke;778;424;54.49;424;424;783;385;49.16;385;377;Senica;Trnavsky kraj
Hradiste pod Vratnom;580;333;57.41;333;332;588;305;51.87;305;302;Senica;Trnavsky kraj
Jablonica;1858;908;48.86;908;905;1882;798;42.4;798;788;Senica;Trnavsky kraj
Kovalov;576;339;58.85;339;339;575;287;49.91;287;281;Senica;Trnavsky kraj
Kuklov;626;180;28.75;180;179;633;161;25.43;161;157;Senica;Trnavsky kraj
Kuty;3991;2151;53.89;2151;2128;4250;2157;50.75;2154;2108;Senica;Trnavsky kraj
Laksarska Nova Ves;936;433;46.26;433;431;939;366;38.97;366;362;Senica;Trnavsky kraj
Moravsky Svaty Jan;1801;933;51.8;933;928;1796;821;45.71;821;809;Senica;Trnavsky kraj
Osuske;487;192;39.42;192;191;491;204;41.54;204;203;Senica;Trnavsky kraj
Plavecky Peter;510;264;51.76;264;264;514;221;42.99;221;218;Senica;Trnavsky kraj
Podbranc;524;300;57.25;300;298;531;280;52.73;280;275;Senica;Trnavsky kraj
Prietrz;614;358;58.3;358;356;620;325;52.41;325;324;Senica;Trnavsky kraj
Prievaly;810;466;57.53;466;463;826;407;49.27;407;397;Senica;Trnavsky kraj
Rohov;348;148;42.52;148;147;343;129;37.6;129;128;Senica;Trnavsky kraj
Rovensko;350;236;67.42;236;233;350;214;61.14;214;211;Senica;Trnavsky kraj
Rybky;346;207;59.82;207;207;345;177;51.3;177;176;Senica;Trnavsky kraj
Sekule;1436;738;51.39;738;733;1433;608;42.42;608;590;Senica;Trnavsky kraj
Senica;16558;7941;47.95;7941;7904;16600;6978;42.03;6978;6880;Senica;Trnavsky kraj
Smolinske;749;448;59.81;448;444;751;360;47.93;360;352;Senica;Trnavsky kraj
Smrdaky;539;344;63.82;344;342;548;329;60.03;329;323;Senica;Trnavsky kraj
Sobotiste;1237;731;59.09;731;727;1229;615;50.04;615;601;Senica;Trnavsky kraj
Sajdikove Humence;920;454;49.34;454;450;928;397;42.78;397;397;Senica;Trnavsky kraj
Sastin - Straze;4122;1826;44.29;1826;1819;4123;1434;34.78;1434;1404;Senica;Trnavsky kraj
Stefanov;1300;620;47.69;620;613;1284;485;37.77;485;473;Senica;Trnavsky kraj
Brodske;1945;834;42.87;834;828;2012;849;42.19;849;835;Skalica;Trnavsky kraj
Dubovce;522;301;57.66;301;301;521;260;49.9;260;252;Skalica;Trnavsky kraj
Gbely;4202;2047;48.71;2047;2040;4211;1792;42.55;1792;1770;Skalica;Trnavsky kraj
Holic;9233;4545;49.22;4544;4511;9260;3802;41.05;3802;3726;Skalica;Trnavsky kraj
Chropov;302;180;59.6;180;179;311;138;44.37;138;137;Skalica;Trnavsky kraj
Katov;515;286;55.53;286;285;507;214;42.2;214;208;Skalica;Trnavsky kraj
Kopcany;2056;958;46.59;958;957;2049;741;36.16;741;730;Skalica;Trnavsky kraj
Kovalovec;126;81;64.28;81;80;120;66;55;66;66;Skalica;Trnavsky kraj
Letnicie;413;253;61.25;253;252;413;195;47.21;195;189;Skalica;Trnavsky kraj
Lopasov;257;191;74.31;191;191;252;159;63.09;159;159;Skalica;Trnavsky kraj
Mokry Haj;584;325;55.65;325;323;633;278;43.91;278;271;Skalica;Trnavsky kraj
